功能模块,具体功能,芯片引脚,对应外设/通道,
编码器采集,左前电机(LF) AB相,PA5、PB3,TIM2 编码器模式,
,右前电机(RF) AB相,PA6、PA7,TIM3 编码器模式,
,左后电机(LB) AB相,PD12、PD13,TIM4 编码器模式,
,右后电机(RB) AB相,PA0、PA1,TIM5 编码器模式,
PWM调速输出,左前电机PWM,PE9,TIM1_CH1,
,右前电机PWM,PE11,TIM1_CH2,
,左后电机PWM,PE13,TIM1_CH3,
,右后电机PWM,PE14,TIM1_CH4,
电机方向控制,LF_IN1、LF_IN2,PE0、PE1,GPIO推挽输出,
,RF_IN1、RF_IN2,PE2、PE3,GPIO推挽输出,
,LB_IN1、LB_IN2,PE4、PE5,GPIO推挽输出,
,RB_IN1、RB_IN2,PE6、PE7,GPIO推挽输出,
调试串口,串口TX、RX,PA9、PA10,USART1 异步串口,
OLED显示屏,I2C_SCL、I2C_SDA,PB6、PB7,I2C1 主机模式,
按键输入,启动按键、原点复位,PC0、PC1,GPIO上拉输入
PC10 PC11是绿灯和红灯的线